"Nom";"ISIN";"Symbole";"Marché";"Trading Currency";"Ouvert";"Haut";"Bas";"Dernier";"Last Date/Time";"Time Zone";"Volume";"Capitaux"
"European Equities";"";;;;;;;;;;;
"02 Nov 2013";;;;;;;;;;;;
"All datapoints provided as of end of last active trading day.";;;;;;;;;;;;
"1000MERCIS";"FR0010285965";"ALMIL";"NYSE Alternext Paris";"EUR";"46,56";"46,99";"46,56";"46,99";"01/11/2013 17:35";"CET";"989";"46276,61"
"1NOMIJ";"NL0010070777";"1NOMY";"NYSE Euronext Amsterdam";"EUR";"0,21";"0,21";"0,21";"0,21";"01/11/2013 16:30";"CET";"251";"52,71"
"3I GROUP";"GB00B1YW4409";"IIIl";"NYSE Arca Europe";"GBX";"367,20";"367,20";"367,20";"367,20";"21/08/2013 15:55";"CET";"216";"79315,20"
"3I INFRASTRUCTURE";"JE00B1RJLF86";"3INl";"NYSE Arca Europe";"GBX";"139,00";"139,00";"139,00";"139,00";"12/08/2013 10:56";"CET";"100";"13900,00"
"3M";"US88579Y1010";"MMMn";"NYSE Arca Europe";"USD";"-";"-";"-";"-";"-";"-";"-";"-"
"4ENERGY INV (D)";"BE0003888089";"ENIN";"NYSE Euronext Brussels";"EUR";"0,19";"0,19";"0,18";"0,18";"01/11/2013 11:19";"CET";"81728";"14821,04"
"888 HOLDINGS";"GI000A0F6407";"888l";"NYSE Arca Europe";"GBX";"141,20";"141,20";"141,20";"141,20";"30/08/2013 13:38";"CET";"100";"14120,00"
"A ET CO";"FR0000075160";"MLACO";"Marché Libre Paris";"EUR";"7,49";"7,49";"7,49";"7,49";"18/10/2013 15:00";"CET";"3";"22,47"
"A TOUTE VITESSE";"FR0010050773";"MLATV";"Marché Libre Paris";"EUR";"5,69";"5,69";"5,69";"5,69";"01/11/2013 15:00";"CET";"100";"569,00"
"A.B FOODS";"GB0006731235";"ABFl";"NYSE Arca Europe";"GBX";"1844,00";"1844,00";"1844,00";"1844,00";"29/08/2013 11:46";"CET";"265";"488660,00"
"A.S.T. GROUPE";"FR0000076887";"ASP";"NYSE Euronext Paris";"EUR";"2,60";"2,60";"2,49";"2,49";"01/11/2013 16:20";"CET";"681";"1706,80"
"A2A";"IT0001233417";"A2Am";"NYSE Arca Europe";"EUR";"0,557";"0,557";"0,557";"0,557";"22/04/2013 16:15";"CET";"1000";"557,00"
"A2MICILE EUROPE";"FR0010795476";"ALA2M";"NYSE Alternext Paris";"EUR";"7,80";"7,80";"7,80";"7,80";"01/11/2013 12:25";"CET";"371";"2893,80"
"AALBERTS INDUSTR";"NL0000852564";"AALB";"NYSE Euronext Amsterdam";"EUR";"22,065";"22,15";"21,915";"22,02";"01/11/2013 17:35";"CET";"86172";"1896124,06"
"AAREAL BANK";"DE0005408116";"ARLd";"NYSE Arca Europe";"EUR";"17,79";"17,79";"17,79";"17,79";"07/03/2013 15:02";"CET";"50";"889,50"
"AAREAL BKCAP FD TR";"XS0138973010";"DEPCF";"NYSE Euronext Amsterdam";"EUR";"24,80";"24,80";"24,71";"24,75";"31/10/2013 16:15";"CET";"6880";"170370,99"
"AB INBEV";"BE0003793107";"ABI";"NYSE Euronext Brussels";"EUR";"76,54";"76,54";"75,37";"75,59";"01/11/2013 17:35";"CET";"939701";"71178882,59"
"AB SCIENCE";"FR0010557264";"AB";"NYSE Euronext Paris";"EUR";"17,50";"17,68";"17,34";"17,40";"01/11/2013 17:35";"CET";"46370";"812762,65"
"ABB N";"CH0012221716";"ABBNz";"NYSE Arca Europe";"CHF";"20,08";"20,14";"20,08";"20,14";"29/08/2013 16:39";"CET";"2981";"59916,34"
"ABBOTT LABS";"US0028241000";"ABTn";"NYSE Arca Europe";"USD";"-";"-";"-";"-";"-";"-";"-";"-"
"ABBVIE";"US00287Y1091";"ABBV";"NYSE Euronext Paris";"EUR";"41,00";"41,00";"35,55";"35,55";"30/10/2013 12:39";"CET";"40";"1531,00"
"ABC ARBITRAGE";"FR0004040608";"ABCA";"NYSE Euronext Paris";"EUR";"5,03";"5,07";"4,95";"5,06";"01/11/2013 17:35";"CET";"27623";"138877,66"
"ABC ORTHODONTICS";"CH0044947239";"MLABC";"Marché Libre Paris";"EUR";"0,30";"0,30";"0,30";"0,30";"03/10/2013 15:00";"CET";"1";"0,30"
"ABENGOA CL.A";"ES0105200416";"ABGe";"NYSE Arca Europe";"EUR";"10,44";"10,44";"10,44";"10,44";"30/07/2012 10:36";"CET";"60";"626,40"
"ABENGOA CL.B";"ES0105200002";"ABGPe";"NYSE Arca Europe";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"ABERDEEN ASSET MGT";"GB0000031285";"ADNl";"NYSE Arca Europe";"GBX";"352,50";"353,80";"352,50";"353,80";"30/08/2013 15:06";"CET";"300";"106010,00"
"ABERDEEN UK TRACKE";"GB0005596985";"EUKl";"NYSE Arca Europe";"GBX";"-";"-";"-";"-";"-";"-";"-";"-"
"ABERFORTH SMLR COS";"GB0000066554";"ASLl";"NYSE Arca Europe";"GBX";"938,00";"939,00";"938,00";"939,00";"12/08/2013 14:37";"CET";"203";"190517,00"
"ABERTIS INFRAESTR.";"ES0111845014";"ABEe";"NYSE Arca Europe";"EUR";"13,665";"13,665";"13,665";"13,665";"05/09/2013 12:54";"CET";"366";"5001,39"
"ABLYNX (D)";"BE0003877942";"ABLX";"NYSE Euronext Brussels";"EUR";"7,26";"7,29";"7,21";"7,27";"01/11/2013 17:35";"CET";"57013";"413195,70"
"ACANTHE DEV.";"FR0000064602";"ACAN";"NYSE Euronext Paris";"EUR";"0,43";"0,44";"0,43";"0,44";"01/11/2013 15:32";"CET";"13203";"5807,32"
"ACCELL GROUP";"NL0009767532";"ACCEL";"NYSE Euronext Amsterdam";"EUR";"14,995";"15,02";"14,855";"14,95";"01/11/2013 17:35";"CET";"10984";"164127,79"
"ACCENTIS";"BE0003696102";"ACCB";"NYSE Euronext Brussels";"EUR";"0,01";"0,01";"0,01";"0,01";"01/11/2013 11:48";"CET";"210000";"2100,00"
"ACCENTURE";"IE00B4BNMY34";"ACNn";"NYSE Arca Europe";"USD";"-";"-";"-";"-";"-";"-";"-";"-"
